id,title,theme,age_source,duration_min,players_min,players_max,participants_scope,summary,material,adaptation_u8,review,url,locator
ffr-reception,Recevoir en trottinant,passe,M10,,,,,Réceptionner une passe pendant un déplacement au petit trot.,Ballon,"Proposition à valider : commencer en marchant, à courte distance, sans opposition.",Source consultée — validation terrain à faire,https://api.liguenouvelleaquitaine.ffr.fr/wp-content/uploads/2021/04/FFR_rugby_a_la_maison_en_famille.pdf,"PDF page 17, atelier 9"
nz-handling-relay,Relais avec changements de portage,manipulation,Under 7 (classement du site),,3,6,par groupe,Groupes alignés devant quatre plots espacés de dix mètres.,Un ballon et quatre plots par groupe,,Description source ; validation pédagogique non effectuée.,https://www.rugbytoolbox.co.nz/training/technique/handling-relay,DRILL SET-UP et DRILL EXPLANATION
nz-multi-relay,Relais avec cinq manipulations successives,motricité et manipulation,Under 7 (classement du site),,6,15,,Trois files réalisent un relais avec une action différente à chaque tour.,Un ballon par groupe ; repères de parcours,,Description source ; progression et passage au sol à adapter au niveau des enfants.,https://www.rugbytoolbox.co.nz/training/technique/multi-action-relay,DRILL SET-UP et DRILL EXPLANATION
scot-relais,Relais avec essai,motricité,Primaire (Écosse),,,,,"Courir entre deux plots, aplatir, revenir puis transmettre au suivant.",Non renseigné,,Source primaire consultée ; adéquation U8 à valider,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 12
wr-pass-support,Relais de soutien tous les cinq mètres,passe et soutien,Initiation Get Into Rugby ; âge non précisé,6,5,5,par atelier,Cinq joueurs partent en file.,Un ballon par atelier ; plots pour délimiter,,Description documentaire ; adaptation U8 à valider par un coach.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,Pass and Support
ffr-relais-atelier,"Relais — courir, rouler, passer",motricité,M8,,,,,"Enchaîner déplacement, passage au sol, relevé et échange du ballon ; parcours non décrit.",Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-2-ecole-de-rugby-novembre-2025/284074128,"Diapositive 3 — Relais — courir, rouler, passer"
nz-rip,Rubans avec restitution avant reprise,évitement et coopération,Under 7 (classement du site),,,,,Joueurs répartis dans le carré.,Ceintures et rubans,,"Description source, adaptation terrain non validée.",https://www.rugbytoolbox.co.nz/training/technique/rip-tag-1,DRILL EXPLANATION
rc-netball,Rugby à quatre cibles,passe,U8 (classement du site),,,,,Marquer par une passe à un partenaire dans une cible. Quatre cibles favorisent le déplacement ; changer de cible après un point. La source demande une passe rapide après toucher et insiste sur les passes courtes.,Ballon ; quatre zones cibles,Proposition U8 à valider : découvrir les cibles sans opposition avant d’ajouter un toucher. Les consignes de la vidéo ne sont pas le règlement FFR.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/videos/expert/Under8s/rugby-netball-with-4-goals/10001532?ft=ppl&p=3068,Description et sous-titres
ffr-guide-dribble,Slalom au pied puis essai,jeu au pied,M8 — guide saison 2022-2023,,,,,Slalom au pied puis essai,Ballons et plots,,Texte du guide consulté ; capture locale bloquée par robots.txt. Pas de validation terrain.,https://api.www.ffr.fr/wp-content/uploads/2023/04/guide-de-leducateur-moins-de-8-ans-2023.pdf,PDF page 26
ffr-speedy-individuel,Speedy — un ballon chacun,réactivité,M8,,6,6,,"Par binômes, réagir au plot de la bonne couleur, ramasser son ballon puis rejoindre son refuge. Trois couloirs pour six enfants.",Ballons et plots,,Lecture documentaire ; validation terrain non effectuée,https://api.www.ffr.fr/wp-content/uploads/2023/04/plan-de-formation-m8-2023.pdf,Page 69
ffr-speedy-partage,Speedy — un ballon pour deux,réactivité,M8,,6,6,,Même départ visuel ; les deux adversaires se disputent désormais un seul ballon.,Ballons et plots,,Lecture documentaire ; validation terrain non effectuée,https://api.www.ffr.fr/wp-content/uploads/2023/04/plan-de-formation-m8-2023.pdf,Page 69 — évolution 2
rc-numbers-tag,Tag : défenseurs numérotés,prise d’information,U7 (classement du site) ; adéquation U8 à valider,,,,,Repérer et exploiter les espaces créés dans la défense.,Ballon et rubans de tag,,"Vérification documentaire ; aucune validation terrain. Règles de jeu éducatif, pas un règlement de compétition.",https://www.rugbycoaching.tv/plans/expert/Under7s/tag-game-numbers-tag/10000409,Description et Video Subtitles de la fiche ; recommandations exclues
rc-tagmania,Tag mania et délivrance,déplacement,Non précisé ; classement U7,,,,,La première situation invite chacun à récolter des rubans. Une progression fige les joueurs touchés et permet à un partenaire de les délivrer en passant sous leurs bras.,Rubans ; ballons pour les progressions,"Séparer les deux règles : d’abord collecte, puis jeu de délivrance. Pour simplifier, délivrer par une tape dans la main.",Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/tag-progressions/10001606,Description / Video Subtitles
scot-tennis,Tennis à la main,coordination,Primaire (Écosse),,2,2,,"À deux, tenir une chasuble comme filet ; de la main libre, réceptionner puis lâcher le ballon par-dessus.",Non renseigné,,Source primaire consultée ; adéquation U8 à valider,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 13
rc-colour-touch,Toucher avec rappel des défenseurs par couleur,prise d’information,U7 (classement du site) ; adéquation U8 à valider,,,,,"En jeu de toucher, le coach appelle une couleur de défenseurs : ils retournent à leur ligne d’essai pendant que l’attaque continue. La source impose une passe sous une seconde après toucher et un genou au sol au défenseur qui touche.",Ballon et chasubles de couleurs,,Description sourcée ; validation terrain non effectuée,https://www.rugbycoaching.tv/videos/coaching/Under7s/colour-touch/10001517,Description / Video Subtitles
ffr-transmettre,Transmettre en trottinant,passe,M10,,,,,Passer au partenaire tout en trottinant avec le ballon.,Ballon,"Proposition à valider : travailler en binôme, en marchant puis en trottinant.",Source consultée — validation terrain à faire,https://api.liguenouvelleaquitaine.ffr.fr/wp-content/uploads/2021/04/FFR_rugby_a_la_maison_en_famille.pdf,"PDF page 17, atelier 10"
rc-bulldog,Traverser face aux chasseurs,déplacement,Non précisé,,10,10,,"Huit coureurs traversent face à deux chasseurs. Les joueurs touchés rejoignent progressivement la défense, qui s’organise pour fermer les espaces.",Terrain délimité,Faire plusieurs courtes manches et limiter le nombre de chasseurs pour préserver des possibilités de passage.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/video/bulldog-touch/10001353,Description / Video Subtitles
scot-zones,Traverser les zones gardées,évitement,Primaire (Écosse),,,,,Franchir les carrés sans être touché. Les défenseurs restent dans leur carré ; les remplacer après quatre-vingt-dix secondes.,Non renseigné,,Source primaire consultée ; adéquation U8 à valider,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 19
wr-tag-3v2,Trois contre deux avec passes en arrière,opposition et soutien,Initiation ; âge non précisé par World Rugby,12,5,5,"par atelier, attentes comprises",Trois attaquants contre deux défenseurs.,Un ballon par groupe ; plots et rubans,,Situation documentaire ; adaptation U8 à valider.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,3 v 2
wr-tag-3v1,Trois contre un avec rotation du défenseur,opposition et soutien,Initiation ; âge non précisé par World Rugby,10,5,5,"par atelier, attentes comprises","Trois attaquants, un défenseur et un joueur en attente.",Un ballon par groupe ; plots et rubans,,Situation documentaire ; adaptation U8 à valider.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,3 v 1
scot-alignement,Trois joueurs alignés,prise d’information,Primaire (Écosse),,6,6,,Deux trios se déplacent à tour de rôle sur neuf plots ; le premier alignement de trois gagne.,Non renseigné,,Source primaire consultée ; adéquation U8 à valider,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 14
wr-passing-relays,Vagues de passes avec relais sur l’autre rive,passe et soutien,Initiation Get Into Rugby ; âge non précisé,6,15,15,par couloir,"Trois équipes de cinq par couloir, deux sur une rive.",Ballon par groupe pour la chaîne et la formation ; un par couloir pour les relais. Plots.,,Source documentaire ; adaptation U8 non validée.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,Relays with Passing
